ICD10CM,ICD10CM_label,ICD10CM_omop_id,SNOMED,SNOMED_label,SNOMED_omop_id
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,,,,
Z77.22,Contact with and (suspected) exposure to environmental tobacco smoke (acute) (chronic),,,,
Z85.038,Personal history of other malignant neoplasm of large intestine,,,,
Z85.048,"Personal history of other malignant neoplasm of rectum, rectosigmoid junction, and anus",,,,
Z85.05,Personal history of malignant neoplasm of liver,,,,
Z85.118,Personal history of other malignant neoplasm of bronchus and lung,,,,
Z85.21,Personal history of malignant neoplasm of larynx,,,,
Z85.3,Personal history of malignant neoplasm of breast,,,,
Z85.46,Personal history of malignant neoplasm of prostate,,,,
Z85.51,Personal history of malignant neoplasm of bladder,,,,
Z85.528,Personal history of other malignant neoplasm of kidney,,,,
Z85.820,Personal history of malignant melanoma of skin,,,,
Z85.89,Personal history of malignant neoplasm of other organs and systems,,,,
Z86.010,Personal history of colonic polyps,,,,
Z86.11,Personal history of tuberculosis,,,,
Z86.61,Personal history of infections of the central nervous system,,,,
Z86.711,Personal history of pulmonary embolism,,,,
Z86.718,Personal history of other venous thrombosis and embolism,,,,
Z86.73,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",,,,
Z87.11,Personal history of peptic ulcer disease,,,,
Z87.440,Personal history of urinary (tract) infections,,,,
Z87.81,Personal history of (healed) traumatic fracture,,,,
Z87.820,Personal history of traumatic brain injury,,,,
Z87.891,Personal history of nicotine dependence,,,,
Z90.10,Acquired absence of unspecified breast and nipple,,,,
Z90.12,Acquired absence of left breast and nipple,,,,
Z90.79,Acquired absence of other genital organ(s),,,,
Z91.81,History of falling,,,,
Z92.21,Personal history of antineoplastic chemotherapy,,,,
Z92.25,Personal history of immunosuppression therapy,,,,
Z92.3,Personal history of irradiation,,,,
Z94.83,Pancreas transplant status,,,,
Z94.84,Stem cells transplant status,,,,
Z95.810,Presence of automatic (implantable) cardiac defibrillator,,,,
Z95.820,Peripheral vascular angioplasty status with implants and grafts,,,,
Z95.828,Presence of other vascular implants and grafts,,,,
Z96.0,Presence of urogenital implants,,,,
Z96.642,Presence of left artificial hip joint,,,,
Z98.0,Intestinal bypass and anastomosis status,,,,
Z98.84,Bariatric surgery status,,,,
